USP Category,USP Class,Example Drugs,Pharmacotherapeutic Group (informational),Combination Drug Product
Antigout Agents,"Antiemetics, Other",Febuxostat ,,no
Antigout Agents,"Antiemetics, Other", ,,
Antigout Agents,"Antiemetics, Other",Colchicine ,,no
Antigout Agents,"Antiemetics, Other",Pegloticase ,,no
Antigout Agents,"Antiemetics, Other", ,,
Antigout Agents,"Antiemetics, Other",Probenecid/ Colchicine ,,yes
Antimigraine Agents,"Antiemetics, Other", ,,Cat
Antimigraine Agents,Ergot Alkaloids, ,,Class
Antimigraine Agents,Ergot Alkaloids,Dihydroergotamine Mesylate,,no
Antimigraine Agents,Ergot Alkaloids,Ergotamine Tartrate,,no
Antimigraine Agents,Ergot Alkaloids,Ergotamine Tartrate/ Caffeine ,,yes
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists, ,,Class
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Almotriptan Malate,,no
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Eletriptan Hydrobromide,,no
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Frovatriptan Succinate,,no
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Lasmiditan,,no
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Naratriptan Hydrochloride,,no
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Rizatriptan Benzoate,,no
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Sumatriptan ,,no
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Sumatriptan/ Naproxen Sodium ,,yes
Antimigraine Agents,Serotonin (5-HT) Receptor Agonists,Zolmitriptan ,,no
Antimigraine Agents,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonist ,,,Class
Antimigraine Agents,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonist ,Eptinezumab,,no
Antimigraine Agents,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonist ,Erenumab ,,no
Antimigraine Agents,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonist ,Fremanezumab ,,no
Antimigraine Agents,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonist ,Galcanezumab ,,no
Antimigraine Agents,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonist ,Rimegepant,,no
Antimigraine Agents,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonist ,Ubrogepant,,no
Antimigraine Agents,"Antimigraine Agents, Other", ,,Class
Antimigraine Agents,"Antimigraine Agents, Other",,,
Antimigraine Agents,"Antimigraine Agents, Other",Propranolol ,,no
Antimigraine Agents,"Antimigraine Agents, Other",Timolol Maleate,,no
Antimigraine Agents,"Antimigraine Agents, Other", ,,
Antimigraine Agents,"Antimigraine Agents, Other",Divalproex Sodium,,no
Antimigraine Agents,"Antimigraine Agents, Other",Topiramate ,,no
Antimigraine Agents,"Antimigraine Agents, Other",Valproic Acid ,,no
Antimyasthenic Agents,"Antimigraine Agents, Other", ,,Cat
Antimyasthenic Agents,Parasympathomimetics, ,,Class
Antimyasthenic Agents,Parasympathomimetics,Guanidine Hydrochloride,,no
Antimyasthenic Agents,Parasympathomimetics,Pyridostigmine Bromide,,no
Antimycobacterials,Parasympathomimetics, ,,Cat
Antimycobacterials,Antituberculars, ,,Class
Antimycobacterials,Antituberculars,Aminosalicylic Acid ,,no
Antimycobacterials,Antituberculars,Bedaquiline Fumarate,,no
Antimycobacterials,Antituberculars,Capreomycin Sulfate,,no
Antimycobacterials,Antituberculars,Cycloserine ,,no
Antimycobacterials,Antituberculars,Ethambutol Hydrochloride,,no
Antimycobacterials,Antituberculars,Ethionamide ,,no
Antimycobacterials,Antituberculars,Isoniazid ,,no
Antimycobacterials,Antituberculars,Pyrazinamide ,,no
Antimycobacterials,Antituberculars,Rifampin ,,no
Antimycobacterials,Antituberculars,Rifapentine ,,no
Antimycobacterials,Antituberculars,Rifampin/ Isoniazid  ,,yes
Antimycobacterials,Antituberculars,Rifampin/ Isoniazid/ Pyrazinamide ,,yes
Antimycobacterials,"Antimycobacterials, Other", ,,Class
Antimycobacterials,"Antimycobacterials, Other",Dapsone ,,no
Antimycobacterials,"Antimycobacterials, Other",Rifabutin ,,no
Antineoplastics,"Antimycobacterials, Other", ,,Cat
Antineoplastics,Alkylating Agents, ,,Class
Antineoplastics,Alkylating Agents, ,,
Antineoplastics,Alkylating Agents,Bendamustine ,,no
Antineoplastics,Alkylating Agents,Chlorambucil ,,no
Antineoplastics,Alkylating Agents,Mechlorethamine Hydrochloride,,no
Antineoplastics,Alkylating Agents,Melphalan ,,no
Antineoplastics,Alkylating Agents, ,,
Antineoplastics,Alkylating Agents,Lomustine ,,no
Antineoplastics,Alkylating Agents, ,,
Antineoplastics,Alkylating Agents,Busulfan ,,no
Antineoplastics,Alkylating Agents,Cyclophosphamide ,,no
Antineoplastics,Alkylating Agents,Lurbinectedin,,no
Antineoplastics,Alkylating Agents,Procarbazine Hydrochloride,,no
Antineoplastics,Alkylating Agents,Temozolomide ,,no
Antineoplastics,Alkylating Agents,Trabectedin ,,no
Antineoplastics,Antiandrogens , ,,Class
Antineoplastics,Antiandrogens , ,,
Antineoplastics,Antiandrogens ,Apalutamide ,,no
Antineoplastics,Antiandrogens ,Bicalutamide ,,no
Antineoplastics,Antiandrogens ,Darolutamide,,no
Antineoplastics,Antiandrogens ,Enzalutamide ,,no
Antineoplastics,Antiandrogens ,Flutamide ,,no
Antineoplastics,Antiandrogens ,Nilutamide ,,no
Antineoplastics,Antiandrogens , ,,
Antineoplastics,Antiandrogens ,Abiraterone  Acetate,,no
Antineoplastics,Antiangiogenic Agents, ,,Class
Antineoplastics,Antiangiogenic Agents,Lenalidomide ,,no
Antineoplastics,Antiangiogenic Agents,Pomalidomide ,,no
Antineoplastics,Antiangiogenic Agents,Thalidomide ,,no
Antineoplastics,Antiestrogens/Modifiers, ,,Class
Antineoplastics,Antiestrogens/Modifiers, ,,
Antineoplastics,Antiestrogens/Modifiers,Estramustine Phosphate Sodium,,no
Antineoplastics,Antiestrogens/Modifiers,Fulvestrant ,,no
Antineoplastics,Antiestrogens/Modifiers,,,
Antineoplastics,Antiestrogens/Modifiers,Tamoxifen Citrate,,no
Antineoplastics,Antiestrogens/Modifiers,Toremifene Citrate,,no
Antineoplastics,Antimetabolites, ,,Class
Antineoplastics,Antimetabolites,Azacitidine,,no
Antineoplastics,Antimetabolites,Decitabine,,no
Antineoplastics,Antimetabolites,Decitabine/ Cedazuridine,,yes
Antineoplastics,Antimetabolites,,,
Antineoplastics,Antimetabolites,Capecitabine ,,no
Antineoplastics,Antimetabolites,Mercaptopurine ,,no
Antineoplastics,Antimetabolites,Thioguanine ,,no
Antineoplastics,Antimetabolites, ,,
Antineoplastics,Antimetabolites,Hydroxyurea ,,no
Antineoplastics,"Aromatase Inhibitors, 3rd Generation", ,,Class
Antineoplastics,"Aromatase Inhibitors, 3rd Generation",Anastrozole ,,no
Antineoplastics,"Aromatase Inhibitors, 3rd Generation",Exemestane ,,no
Antineoplastics,"Aromatase Inhibitors, 3rd Generation",Letrozole ,,no
Antineoplastics,Enzyme Inhibitors, ,,Class
Antineoplastics,Enzyme Inhibitors,Etoposide ,,no
Antineoplastics,Enzyme Inhibitors,Topotecan ,,no
Antineoplastics,Molecular Target Inhibitors, ,,Class
Antineoplastics,Molecular Target Inhibitors,,,
Antineoplastics,Molecular Target Inhibitors,Capmatinib,,no
Antineoplastics,Molecular Target Inhibitors,,,
Antineoplastics,Molecular Target Inhibitors,Pexidartinib,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Binimetinib ,,no
Antineoplastics,Molecular Target Inhibitors,Cobimetinib Fumarate,,no
Antineoplastics,Molecular Target Inhibitors,Selumetinib,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Alectinib ,,no
Antineoplastics,Molecular Target Inhibitors,Brigatinib ,,no
Antineoplastics,Molecular Target Inhibitors,Ceritinib ,,no
Antineoplastics,Molecular Target Inhibitors,Crizotinib ,,no
Antineoplastics,Molecular Target Inhibitors,Lorlatinib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Dabrafenib Mesylate,,no
Antineoplastics,Molecular Target Inhibitors,Encorafenib ,,no
Antineoplastics,Molecular Target Inhibitors,Trametinib Dimethyl Sulfoxide,,no
Antineoplastics,Molecular Target Inhibitors,Vemurafenib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Acalabrutinib ,,no
Antineoplastics,Molecular Target Inhibitors,Ibrutinib  ,,no
Antineoplastics,Molecular Target Inhibitors,Zanubrutinib,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Abemaciclib ,,no
Antineoplastics,Molecular Target Inhibitors,Palbociclib ,,no
Antineoplastics,Molecular Target Inhibitors,Ribociclib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Afatinib Dimaleate,,no
Antineoplastics,Molecular Target Inhibitors,Dacomitinib ,,no
Antineoplastics,Molecular Target Inhibitors,Erlotinib Hydrochloride,,no
Antineoplastics,Molecular Target Inhibitors,Gefitinib ,,no
Antineoplastics,Molecular Target Inhibitors,Osimertinib Mesylate,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Erdafitinib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Glasdegib ,,no
Antineoplastics,Molecular Target Inhibitors,Sonidegib Phosphate,,no
Antineoplastics,Molecular Target Inhibitors,Vismodegib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Ivosidenib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Ruxolitinib Phosphate,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Cabazitaxel ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Everolimus ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Bosutinib Monohydrate,,no
Antineoplastics,Molecular Target Inhibitors,Dasatinib ,,no
Antineoplastics,Molecular Target Inhibitors,Imatinib Mesylate,,no
Antineoplastics,Molecular Target Inhibitors,Nilotinib Hydrochloride Monohydrate,,no
Antineoplastics,Molecular Target Inhibitors,Ponatinib Hydrochloride,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Lapatinib Ditosylate,,no
Antineoplastics,Molecular Target Inhibitors,Axitinib ,,no
Antineoplastics,Molecular Target Inhibitors,Cabozantinib S-Malate,,no
Antineoplastics,Molecular Target Inhibitors,Lenvatinib Mesylate,,no
Antineoplastics,Molecular Target Inhibitors,Neratinib Maleate,,no
Antineoplastics,Molecular Target Inhibitors,Pazopanib Hydrochloride,,no
Antineoplastics,Molecular Target Inhibitors,Regorafenib ,,no
Antineoplastics,Molecular Target Inhibitors,Sorafenib Tosylate,,no
Antineoplastics,Molecular Target Inhibitors,Sunitinib Malate,,no
Antineoplastics,Molecular Target Inhibitors,Tucatinib,,no
Antineoplastics,Molecular Target Inhibitors,Vandetanib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Fedratinib,,no
Antineoplastics,Molecular Target Inhibitors,Gilteritinib ,,no
Antineoplastics,Molecular Target Inhibitors,Midostaurin ,,no
Antineoplastics,Molecular Target Inhibitors,,,
Antineoplastics,Molecular Target Inhibitors,Pralsetinib,,no
Antineoplastics,Molecular Target Inhibitors,Selpercatinib,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Entrectinib,,no
Antineoplastics,Molecular Target Inhibitors,Larotrectinib ,,no
Antineoplastics,Molecular Target Inhibitors,,,
Antineoplastics,Molecular Target Inhibitors,Avapritinib,,no
Antineoplastics,Molecular Target Inhibitors,Ripretinib,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Alpelisib ,,no
Antineoplastics,Molecular Target Inhibitors,Copanlisib ,,no
Antineoplastics,Molecular Target Inhibitors,Duvelisib ,,no
Antineoplastics,Molecular Target Inhibitors,Idelalisib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Niraparib ,,no
Antineoplastics,Molecular Target Inhibitors,Olaparib ,,no
Antineoplastics,Molecular Target Inhibitors,Rucaparib ,,no
Antineoplastics,Molecular Target Inhibitors,Talazoparib ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Venetoclax ,,no
Antineoplastics,Molecular Target Inhibitors, ,,
Antineoplastics,Molecular Target Inhibitors,Belinostat ,,no
Antineoplastics,Molecular Target Inhibitors,Panobinostat Lactate,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,Class
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,"Moxetumomab Pasudotox
 ",,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Bevacizumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Ramucirumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Mogamulizumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Blinatumomab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Daratumumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Daratumumab/ Hyaluronidase,,yes
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Isatuximab,,no 
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Dinutuximab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Elotuzumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Ipilimumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Pertuzumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Pertuzumab/ Trastuzumab/ Hyaluronidase,,yes
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Trastuzumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Trastuzumab/ Hyaluronidase ,,yes
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Cetuximab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Necitumumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Panitumumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Olaratumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Atezolizumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Avelumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Cemiplimab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Durvalumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Nivolumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Pembrolizumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Tafasitamab,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Obinutuzumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Ofatumumab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Rituximab ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Rituximab/ Hyaluronidase ,,yes
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate, ,,
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Ado-Trastuzumab Emtansine ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Belantamab Mafodotin,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Brentuximab Vedotin ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Enfortumab Vedotin,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Gemtuzumab Ozogamicin ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Inotuzumab Ozogamicin ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Polatuzumab Vedotin ,,no
Antineoplastics,Monoclonal Antibody/Antibody-Drug Conjugate,Sacituzumab Govitecan,,no
Antineoplastics,Retinoids, ,,Class
Antineoplastics,Retinoids,Alitretinoin ,,no
Antineoplastics,Retinoids,Bexarotene ,,no
Antineoplastics,Retinoids,Tretinoin ,,no
Antineoplastics,Treatment Adjuncts, ,,Class
Antineoplastics,Treatment Adjuncts,Allopurinol ,,no
Antineoplastics,Treatment Adjuncts,Leucovorin Calcium,,no
Antineoplastics,Treatment Adjuncts,Levoleucovorin Calcium,,no
Antineoplastics,Treatment Adjuncts,Mesna ,,no
Antineoplastics,Treatment Adjuncts,Rasburicase ,,no
Antineoplastics,Treatment Adjuncts,Zoledronic Acid,,no
Antineoplastics,"Antineoplastics, Other", ,,Class
Antineoplastics,"Antineoplastics, Other", ,,
Antineoplastics,"Antineoplastics, Other",Methotrexate ,,no
Antineoplastics,"Antineoplastics, Other",Pemetrexed Disodium,,no
Antineoplastics,"Antineoplastics, Other",,,
Antineoplastics,"Antineoplastics, Other",Aldesleukin ,,no
Antineoplastics,"Antineoplastics, Other",Asparaginase-erwinia ,,no
Antineoplastics,"Antineoplastics, Other",Calaspargase Pegol ,,no
Antineoplastics,"Antineoplastics, Other",Denileukin Diftitox ,,no
Antineoplastics,"Antineoplastics, Other",Enasidenib Mesylate,,no
Antineoplastics,"Antineoplastics, Other",Fludarabine Phosphate,,no
Antineoplastics,"Antineoplastics, Other",Ixazomib Citrate,,no
Antineoplastics,"Antineoplastics, Other",Letrozole/ Ribociclib    ,,yes
Antineoplastics,"Antineoplastics, Other",Leucovorin Calcium,,no
Antineoplastics,"Antineoplastics, Other",Levoleucovorin Calcium,,no
Antineoplastics,"Antineoplastics, Other",Mitoxantrone Hydrochloride,,no
Antineoplastics,"Antineoplastics, Other",Pegaspargase ,,no
Antineoplastics,"Antineoplastics, Other",Selinexor ,,no
Antineoplastics,"Antineoplastics, Other",Tagraxofusp ,,no
Antineoplastics,"Antineoplastics, Other",Tazemetostat,,no
Antineoplastics,"Antineoplastics, Other",Trifluridine/ Tipiracil ,,yes
Antineoplastics,"Antineoplastics, Other",Uridine Triacetate,,no
Antineoplastics,"Antineoplastics, Other",Vorinostat ,,no
Anti-Obesity Agents,, ,,Cat
Anti-Obesity Agents,,Benzphetamine ,,no
Anti-Obesity Agents,,Diethylpropion Hydrochloride,,no
Anti-Obesity Agents,,Phendimetrazine ,,no
Anti-Obesity Agents,,Phentermine Hydrochloride,,no
Anti-Obesity Agents,,Liraglutide ,,no
Anti-Obesity Agents,,Methamphetamine Hydrochloride,,no
Anti-Obesity Agents,,Orlistat ,,no
Anti-Obesity Agents,, ,,
Anti-Obesity Agents,,Naltrexone Hydrochloride/ Bupropion Hydrochloride ,,yes
Anti-Obesity Agents,,Phentermine/ Topiramate ,,yes
Antiparasitics,, ,,Cat
Antiparasitics,Anthelmintics, ,,Class
Antiparasitics,Anthelmintics,Albendazole ,,no
Antiparasitics,Anthelmintics,Ivermectin ,,no
Antiparasitics,Anthelmintics,Mebendazole ,,no
Antiparasitics,Anthelmintics,Moxidectin ,,no
Antiparasitics,Anthelmintics,Praziquantel ,,no
Antiparasitics,Anthelmintics,Triclabendazole ,,no
Antiparasitics,Antiprotozoals, ,,Class
Antiparasitics,Antiprotozoals, ,,
Antiparasitics,Antiprotozoals,Miltefosine ,,no
Antiparasitics,Antiprotozoals, ,,
Antiparasitics,Antiprotozoals,Artemether/ Lumefantrine ,,yes
Antiparasitics,Antiprotozoals,Atovaquone/ Proguanil Hydrochloride ,,yes
Antiparasitics,Antiprotozoals,Chloroquine Phosphate,,no
Antiparasitics,Antiprotozoals,Hydroxychloroquine Sulfate,,no
Antiparasitics,Antiprotozoals,Mefloquine Hydrochloride,,no
Antiparasitics,Antiprotozoals,Primaquine Phosphate,,no
Antiparasitics,Antiprotozoals,Quinine Sulfate,,no
Antiparasitics,Antiprotozoals,Tafenoquine  Succinate,,no
Antiparasitics,Antiprotozoals, ,,
Antiparasitics,Antiprotozoals,Atovaquone ,,no
Antiparasitics,Antiprotozoals,Benznidazole ,,no
Antiparasitics,Antiprotozoals,Nifurtimox,,no
Antiparasitics,Antiprotozoals,Nitazoxanide ,,no
Antiparasitics,Antiprotozoals,Pentamidine Isethionate,,no
Antiparasitics,Antiprotozoals,Pyrimethamine ,,no
Antiparkinson Agents,Antiprotozoals, ,,Cat
Antiparkinson Agents,Anticholinergics, ,,Class
Antiparkinson Agents,Anticholinergics,Benztropine Mesylate,,no
Antiparkinson Agents,Anticholinergics,Diphenhydramine Hydrochloride,,no
Antiparkinson Agents,Anticholinergics,Trihexyphenidyl Hydrochloride,,no
Antiparkinson Agents,Dopamine Agonists, ,,Class
Antiparkinson Agents,Dopamine Agonists,Apomorphine Hydrochloride,,no
Antiparkinson Agents,Dopamine Agonists,Bromocriptine Mesylate,,no
Antiparkinson Agents,Dopamine Agonists,Pramipexole Dihydrochloride,,no
Antiparkinson Agents,Dopamine Agonists,Ropinirole Hydrochloride,,no
Antiparkinson Agents,Dopamine Agonists,Rotigotine ,,no
Antiparkinson Agents,Dopamine Precursors and/or L-Amino Acid Decarboxylase Inhibitors, ,,Class
Antiparkinson Agents,Dopamine Precursors and/or L-Amino Acid Decarboxylase Inhibitors,Carbidopa ,,no
Antiparkinson Agents,Dopamine Precursors and/or L-Amino Acid Decarboxylase Inhibitors,Carbidopa/ Levodopa ,,yes
Antiparkinson Agents,Dopamine Precursors and/or L-Amino Acid Decarboxylase Inhibitors,Levodopa ,,no
Antiparkinson Agents,Monoamine Oxidase B (MAO-B) Inhibitors, ,,Class
Antiparkinson Agents,Monoamine Oxidase B (MAO-B) Inhibitors,Rasagiline Mesylate,,no
Antiparkinson Agents,Monoamine Oxidase B (MAO-B) Inhibitors,Safinamide ,,no
Antiparkinson Agents,Monoamine Oxidase B (MAO-B) Inhibitors,Selegiline Hydrochloride,,no
Antiparkinson Agents,"Antiparkinson Agents, Other", ,,Class
Antiparkinson Agents,"Antiparkinson Agents, Other",,,
Antiparkinson Agents,"Antiparkinson Agents, Other",Istradefylline,,no
Antiparkinson Agents,"Antiparkinson Agents, Other",,,
Antiparkinson Agents,"Antiparkinson Agents, Other",Carbidopa/ Levodopa/ Entacapone ,,yes
Antiparkinson Agents,"Antiparkinson Agents, Other", ,,
Antiparkinson Agents,"Antiparkinson Agents, Other",Entacapone ,,no
Antiparkinson Agents,"Antiparkinson Agents, Other",Opicapone,,no
Antiparkinson Agents,"Antiparkinson Agents, Other",Tolcapone ,,no
Antiparkinson Agents,"Antiparkinson Agents, Other",,,
Antiparkinson Agents,"Antiparkinson Agents, Other",Amantadine Hydrochloride,,no
Antipsychotics,"Antiparkinson Agents, Other", ,,Cat
Antipsychotics,1st Generation/Typical, ,,Class
Antipsychotics,2nd Generation/Typical,Chlorpromazine Hydrochloride,,no
Antipsychotics,3rd Generation/Typical,Fluphenazine Hydrochloride,,no
Antipsychotics,4th Generation/Typical,Fluphenazine Decanoate,,no
Antipsychotics,5th Generation/Typical,Haloperidol ,,no
Antipsychotics,6th Generation/Typical,Haloperidol Decanoate,,no
Antipsychotics,7th Generation/Typical,Loxapine Succinate,,no
Antipsychotics,8th Generation/Typical,Perphenazine ,,no
Antipsychotics,9th Generation/Typical,Pimozide ,,no
Antipsychotics,10th Generation/Typical,Prochlorperazine Edisylate,,no
Antipsychotics,11th Generation/Typical,Prochlorperazine Maleate,,no
Antipsychotics,12th Generation/Typical,Thioridazine Hydrochloride,,no
Antipsychotics,13th Generation/Typical,Thiothixene Hydrochloride,,no
Antipsychotics,14th Generation/Typical,Trifluoperazine Hydrochloride,,no
Antipsychotics,2nd Generation/Atypical, ,,Class
Antipsychotics,3rd Generation/Atypical,Aripiprazole ,,no
Antipsychotics,4th Generation/Atypical,Asenapine ,,no
Antipsychotics,5th Generation/Atypical,Brexpiprazole ,,no
Antipsychotics,6th Generation/Atypical,Cariprazine Hydrochloride,,no
Antipsychotics,7th Generation/Atypical,Iloperidone ,,no
Antipsychotics,8th Generation/Atypical,Lurasidone Hydrochloride,,no
Antipsychotics,9th Generation/Atypical,Olanzapine ,,no
Antipsychotics,10th Generation/Atypical,Olanzapine Pamoate,,no
Antipsychotics,11th Generation/Atypical,Pimavanserin Tartrate,,no
Antipsychotics,12th Generation/Atypical,Quetiapine Fumarate,,no
Antipsychotics,13th Generation/Atypical,Paliperidone ,,no
Antipsychotics,14th Generation/Atypical,Paliperidone Palmitate,,no
Antipsychotics,15th Generation/Atypical,Risperidone ,,no
Antipsychotics,16th Generation/Atypical,Ziprasidone Hydrochloride,,no
Antipsychotics,17th Generation/Atypical,Ziprasidone Mesylate,,no
Antipsychotics,Treatment-Resistant, ,,Class
Antipsychotics,Treatment-Resistant,Clozapine ,,no
Antispasticity Agents,, ,,Cat
Antispasticity Agents,,Baclofen ,,no
Antispasticity Agents,,Dantrolene Sodium,,no
Antispasticity Agents,,Tizanidine Hydrochloride,,no
Antivirals,, ,,Cat
Antivirals,Anti-cytomegalovirus (CMV) Agents, ,,Class
Antivirals,Anti-cytomegalovirus (CMV) Agents,Cidofovir ,,no
Antivirals,Anti-cytomegalovirus (CMV) Agents,Foscarnet Sodium,,no
Antivirals,Anti-cytomegalovirus (CMV) Agents,Ganciclovir Sodium,,no
Antivirals,Anti-cytomegalovirus (CMV) Agents,Letermovir ,,no
Antivirals,Anti-cytomegalovirus (CMV) Agents,Valganciclovir Hydrochloride,,no
Antivirals,Anti-hepatitis B (HBV) Agents, ,,Class
Antivirals,Anti-hepatitis B (HBV) Agents,Adefovir Dipivoxil,,no
Antivirals,Anti-hepatitis B (HBV) Agents,Entecavir ,,no
Antivirals,Anti-hepatitis B (HBV) Agents,Lamivudine ,,no
Antivirals,Anti-hepatitis B (HBV) Agents,Tenofovir Alafenamide,,no
Antivirals,Anti-hepatitis B (HBV) Agents,Tenofovir Disoproxil Fumarate,,no
Antivirals,Anti-hepatitis C (HCV) Agents, ,,Class
